序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2567,603220,中贝通信,24.65,-0.56,-0.14,320001.0,794236272.0,2.5,25.17,24.55,24.8,24.79,1.22,7.37,105.68,5.46,10704316533.0,10704316533.0,0.0,-0.04,15.62,7.83
2568,600521,华海药业,22.96,-0.56,-0.13,249331.0,574561876.0,2.38,23.4,22.85,23.03,23.09,0.51,1.71,41.98,3.55,34376884820.0,33432028861.0,0.17,0.13,24.85,30.31
2569,002594,比亚迪,109.09,-0.57,-0.62,472977.0,5188176204.4,1.64,110.8,109.0,109.8,109.71,0.61,1.36,32.06,4.73,994595082366.0,380423210471.0,-0.12,-0.17,-0.91,17.43
2570,601818,光大银行,3.46,-0.57,-0.02,2837669.0,982009176.0,1.72,3.49,3.43,3.48,3.48,0.69,0.61,4.15,0.42,204436006671.0,160567581841.0,-0.29,0.0,-14.99,-5.98
2571,601816,京沪高铁,5.2,-0.57,-0.03,1902132.0,986499509.0,1.53,5.23,5.15,5.23,5.23,1.3,0.39,20.14,1.26,254413532724.0,254413532724.0,-0.38,-0.19,-8.13,-13.91
2572,301066,万事利,15.64,-0.57,-0.09,54090.0,84648627.86,2.99,15.95,15.48,15.7,15.73,0.55,2.87,96.55,2.91,3674197456.0,2952623097.0,0.0,0.26,2.22,14.16
2573,603309,维力医疗,13.96,-0.57,-0.08,34218.0,47822524.0,2.14,14.17,13.87,14.17,14.04,0.85,1.17,16.88,2.19,4088437531.0,4074524995.0,-0.21,-0.14,11.86,21.6
2574,002290,禾盛新材,38.33,-0.57,-0.22,56156.0,216878573.45,4.12,39.66,38.07,38.55,38.55,0.54,2.27,49.02,10.55,9510145609.0,9482476140.0,0.03,0.24,26.96,124.15
2575,600854,春兰股份,5.23,-0.57,-0.03,80759.0,42117613.0,2.09,5.27,5.16,5.27,5.26,0.92,1.55,11.44,1.12,2716768154.0,2716768154.0,0.0,-0.19,1.16,17.26
2576,688285,高铁电气,8.73,-0.57,-0.05,29236.0,25537635.0,3.08,8.86,8.59,8.76,8.78,1.14,0.78,57.81,1.97,3285010940.0,3285010940.0,0.0,0.0,7.51,18.13
2577,603193,润本股份,28.15,-0.57,-0.16,18553.0,52316735.0,0.74,28.33,28.12,28.28,28.31,0.5,1.8,30.37,5.44,11389301789.0,2908917239.0,-0.04,-0.04,-10.41,22.82
2578,300462,ST华铭,10.42,-0.57,-0.06,32294.0,33574074.0,3.15,10.59,10.26,10.5,10.48,0.63,2.34,-78.82,1.33,1888332594.0,1438314718.0,0.0,0.0,-15.56,16.82
2579,600110,诺德股份,6.99,-0.57,-0.04,901507.0,630148963.0,3.27,7.13,6.9,6.99,7.03,0.64,5.2,-83.73,2.15,12128914715.0,12128914715.0,0.0,0.14,2.49,74.75
2580,301580,爱迪特,44.64,-0.58,-0.26,14099.0,63509022.8,2.87,45.8,44.51,45.08,44.9,1.18,1.96,25.84,2.34,4757040932.0,3214838523.0,0.09,-0.04,10.69,8.77
2581,605268,王力安防,10.21,-0.58,-0.06,63448.0,64670156.0,2.04,10.32,10.11,10.24,10.27,0.52,1.45,33.57,2.66,4556748525.0,4468878713.0,-0.1,0.0,6.58,24.51
2582,920116,星图测控,70.27,-0.58,-0.41,12502.0,88282811.98,2.29,71.62,70.0,70.25,70.68,0.54,3.08,174.04,21.68,11227389250.0,2851611411.0,0.0,-0.01,0.34,1351.86
2583,002006,精工科技,20.47,-0.58,-0.12,306378.0,630609828.06,3.64,21.0,20.25,20.49,20.59,0.61,5.89,46.89,4.49,10640171717.0,10640171717.0,-0.05,-0.05,25.12,25.2
2584,301289,国缆检测,51.31,-0.58,-0.3,8560.0,43993603.5,2.17,52.1,50.98,51.55,51.61,1.03,1.1,46.8,4.15,4002180000.0,3979198251.0,0.0,0.21,6.01,5.9
2585,000020,深华发Ａ,13.63,-0.58,-0.08,28392.0,38791018.0,2.19,13.85,13.55,13.7,13.71,1.08,1.57,134.57,9.23,3859487524.0,2469284279.0,0.0,-0.22,0.15,9.74
2586,603205,健尔康,29.11,-0.58,-0.17,11452.0,33300924.0,2.15,29.51,28.88,28.9,29.28,0.94,2.94,47.16,3.18,4541160000.0,1135290000.0,0.03,0.03,-0.65,-0.24
2587,688133,泰坦科技,24.01,-0.58,-0.14,33065.0,79956153.0,2.65,24.5,23.86,24.19,24.15,0.93,2.01,202.15,1.42,3948131818.0,3948131818.0,-0.41,-0.46,7.62,32.14
2588,002234,民和股份,8.57,-0.58,-0.05,41521.0,35674759.73,1.39,8.65,8.53,8.63,8.62,0.55,1.38,-6.97,1.64,2990589017.0,2583072036.0,-0.46,-0.23,5.28,-3.6
