标题,摘要,发布时间,链接
Waymo目标今年第四季度在伦敦推出无人驾驶叫车服务,【Waymo目标今年第四季度在伦敦推出无人驾驶叫车服务】谷歌旗下自动驾驶出租车公司Waymo最新表示，目标今年第四季度在伦敦推出完全无人驾驶的叫车服务。,2026-01-29 14:56:08,https://finance.eastmoney.com/a/202601293635163715.html
量子“捕手”为寻找宇宙“隐形邻居”提供新工具,【量子“捕手”为寻找宇宙“隐形邻居”提供新工具】记者从中国科学技术大学获悉，1月29日，中科大自旋磁共振实验室彭新华教授和江敏教授团队在《自然》杂志发表最新研究成果：他们革新核自旋量子精密测量技术，成功搭建国际首个基于原子核自旋的量子传感网络，连接合肥与杭州，让暗物质探测灵敏度实现质的飞跃，为搜寻宇宙“隐形邻居”提供突破性工具。,2026-01-29 14:54:38,https://finance.eastmoney.com/a/202601293635160711.html
世界黄金协会：2025年纽约期金净多仓位逆势缩减 为后续资金流入预留了空间,【世界黄金协会：2025年纽约期金净多仓位逆势缩减 为后续资金流入预留了空间】世界黄金协会在《全球黄金需求趋势2025年四季度及全年报告》中关于未来的展望中提到，2025年，纽约商品交易所（COMEX）黄金期货基金经理净持仓逆势减少173吨。这一现象或反映出市场正转向更具战略意义的实物资产持仓配置。不过，四季度金价走高及市场波动加剧，也可能导致部分投机者缩减持仓规模。,2026-01-29 14:49:27,https://finance.eastmoney.com/a/202601293635156042.html
江苏富豪姜照柏被名下上市公司起诉，索赔金额超26亿元,【江苏富豪姜照柏被名下上市公司起诉，索赔金额超26亿元】江苏富豪姜照柏被名下上市公司鹏欣资源(600490.SH)起诉。鹏欣资源1月27日晚间发布公告，因为一起业绩承诺补偿争议，公司将实控人姜照柏、董事姜雷告上法庭。目前，该案件已被法院受理。此次涉案金额包括业绩补偿款及利息、诉讼费等合计约4.3亿元及补偿股份2.2亿股。,2026-01-29 14:48:35,https://finance.eastmoney.com/a/202601293635153557.html
云南：实施稀贵金属产业做大做强专项行动,【云南：实施稀贵金属产业做大做强专项行动】云南省人民政府办公厅日前印发《云南省产业园区发展行动方案》，其中提出，实施稀贵金属产业做大做强专项行动，在材料环节形成一批具备优势竞争力的先导性产品，带动资源综合利用、精深加工、元器件生产等集聚发展，高质量建设滇中稀贵金属国家先进制造业集群，打造全国重要的稀贵金属产业基地。,2026-01-29 14:48:09,https://finance.eastmoney.com/a/202601293635153293.html
五粮液尾盘涨停,五粮液尾盘涨停，成交额超99亿。,2026-01-29 14:45:53,https://finance.eastmoney.com/a/202601293635149277.html
四连板创股价新高 豫光金铅业绩失“光” 股价翻倍难破无矿之痛,【四连板创股价新高 豫光金铅业绩失“光” 股价翻倍难破无矿之痛】在市场的聚光灯下，豫光金铅的业绩困局正在等待揭晓。资本市场的追捧并非无源之水，业绩与股价形成正向共振，2025年前三季度营收、净利润同比双双增长，但这份业绩增长的光鲜表象之下，毛利率低迷、现金流承压、应收款项离奇高增的经营隐忧已然浮现，成为其业绩版图中的暗角。,2026-01-29 14:45:07,https://finance.eastmoney.com/a/202601293635148166.html
沪深两市成交额突破3万亿 较上一日此时放量超2400亿,沪深两市成交额突破3万亿，较上一日此时放量超2400亿。,2026-01-29 14:44:23,https://finance.eastmoney.com/a/202601293635147687.html
意法半导体称芯片销售好转,【意法半导体称芯片销售好转】意法半导体第四财季销售额录得增长，因客户寻求用于个人电子产品、通信设备、计算机外围设备和工业机械的芯片，不过汽车行业的半导体需求仍在艰难反弹。这家欧洲芯片制造商公布的销售额为33.3亿美元，在连续数月下滑后恢复了0.2%的同比增长，并超过了Visible Alpha提供的分析师32.8亿美元的预测。尽管有所改善，但首席执行官让-马克·奇瑞表示，汽车行业的需求仍然低于预期。,2026-01-29 14:42:41,https://finance.eastmoney.com/a/202601293635145421.html
云南：到2028年力争全省有色金属产业产值突破6000亿元 新能源电池和磷产业成为新的千亿级产业,【云南：到2028年力争全省有色金属产业产值突破6000亿元 新能源电池和磷产业成为新的千亿级产业】云南省人民政府办公厅印发《云南省产业园区发展行动方案》，方案指出，2026—2028年，全省园区规上工业总产值年均增长7%左右，规上工业企业年均新增600家。以科技创新为引领做强做优做大资源型产业，积极发展战略性新兴产业和未来产业。运用数智技术、绿色技术改造提升传统产业，以产业转型发展促进园区转型升级。,2026-01-29 14:40:14,https://finance.eastmoney.com/a/202601293635143618.html
