序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3037,002036,联创电子,11.43,0.09,0.01,373049.0,427331021.16,2.89,11.6,11.27,11.28,11.42,0.52,3.54,177.68,5.63,12063276555.0,12040527644.0,0.0,0.09,10.12,3.72
3038,603036,如通股份,21.85,0.09,0.02,47837.0,104531019.0,2.15,22.07,21.6,21.72,21.83,0.72,2.32,37.36,3.28,4501231646.0,4501231646.0,0.0,-0.09,-4.04,2.25
3039,600639,浦东金桥,10.79,0.09,0.01,184941.0,202688273.0,6.03,11.25,10.6,10.74,10.78,2.18,2.18,26.84,0.84,12110835115.0,9174054025.0,-0.09,0.0,-3.4,5.06
3040,301370,国科恒泰,12.1,0.08,0.01,71652.0,86951064.0,2.56,12.31,12.0,12.04,12.09,0.8,2.21,63.4,2.27,5694260000.0,3917357588.0,0.0,0.33,12.14,3.6
3041,301302,华如科技,25.26,0.08,0.02,51000.0,129413254.02,4.0,25.92,24.91,25.13,25.24,0.31,3.67,-21.2,2.51,3937149900.0,3510887400.0,-0.04,-0.16,8.41,10.45
3042,002517,恺英网络,25.58,0.08,0.02,397496.0,1018518430.46,2.82,26.07,25.35,25.4,25.56,0.54,2.1,25.88,5.35,54650217926.0,48321787676.0,0.39,0.35,4.97,16.96
3043,001390,古麒绒材,25.46,0.08,0.02,34059.0,86024127.67,1.73,25.46,25.02,25.39,25.44,0.7,6.81,27.55,3.21,5092000000.0,1273000000.0,0.04,0.24,-6.74,4.09
3044,002403,爱仕达,12.97,0.08,0.01,37619.0,48665362.56,2.16,13.03,12.75,12.83,12.96,0.76,1.27,-56.18,2.76,4418082370.0,3854184058.0,0.08,0.08,-11.23,2.45
3045,002029,七 匹 狼,12.46,0.08,0.01,190677.0,237165254.27,2.89,12.63,12.27,12.46,12.45,0.47,2.87,16.35,1.29,8784593271.0,8290958249.0,-0.08,0.4,39.37,12.96
3046,002297,博云新材,11.94,0.08,0.01,356370.0,424190110.51,3.94,12.13,11.66,11.89,11.93,0.66,6.22,170.86,3.25,6842871539.0,6842871539.0,0.34,0.25,32.96,-0.25
3047,300002,神州泰岳,12.31,0.08,0.01,483930.0,596522171.29,2.6,12.46,12.14,12.22,12.3,0.41,2.62,25.07,3.19,24215910290.0,22737203473.0,0.08,0.0,0.74,6.86
3048,600380,健康元,11.97,0.08,0.01,145566.0,174511857.0,2.01,12.15,11.91,11.93,11.96,0.77,0.8,15.05,1.47,21898557030.0,21898557030.0,0.25,0.25,0.59,3.64
3049,002097,山河智能,12.46,0.08,0.01,268604.0,334336516.68,1.85,12.54,12.31,12.33,12.45,0.65,2.5,103.91,2.85,13389731109.0,13365831272.0,0.08,0.08,-8.38,0.4
3050,920570,坤博精工,36.7,0.08,0.03,3349.0,12317974.26,2.24,37.13,36.31,36.6,36.67,0.27,1.38,304.52,5.37,1841232431.0,893326591.0,-0.19,0.0,-3.4,8.39
3051,002287,奇正藏药,24.3,0.08,0.02,27679.0,67225314.56,1.11,24.41,24.14,24.34,24.28,0.99,0.48,24.62,2.9,13902472333.0,13875052019.0,0.21,0.16,-7.64,2.7
3052,002488,金固股份,12.27,0.08,0.01,612567.0,753002788.87,6.53,12.66,11.86,12.1,12.26,0.83,6.66,218.07,3.48,12214037328.0,11289430668.0,0.0,-0.08,20.06,39.59
