日期,样本代码,样本简称,所属行业,总市值(亿元),权重（%）
2026-01-30,2427,尤夫股份,原材料,71.84,0.01
2026-01-30,2428,云南锗业,原材料,229.51,0.04
2026-01-30,2429,兆驰股份,可选消费,438.66,0.04
2026-01-30,2431,棕榈股份,工业,47.04,0.01
2026-01-30,2434,万里扬,可选消费,130.21,0.01
2026-01-30,2438,江苏神通,工业,87.45,0.01
2026-01-30,2440,闰土股份,原材料,141.51,0.02
2026-01-30,2441,众业达,工业,53.2,0.01
2026-01-30,2443,金洲管道,原材料,45.23,0.01
2026-01-30,786,北新建材,原材料,474.92,0.05
2026-01-30,788,北大医药,医药卫生,37.61,0.0
2026-01-30,789,万年青,原材料,43.62,0.0
2026-01-30,790,华神科技,医药卫生,25.01,0.0
2026-01-30,791,甘肃能源,公用事业,223.18,0.01
2026-01-30,792,盐湖股份,原材料,1734.58,0.2
2026-01-30,796,凯撒旅业,可选消费,102.8,0.01
2026-01-30,797,中国武夷,房地产,48.69,0.0
2026-01-30,798,中水渔业,主要消费,42.26,0.0
2026-01-30,801,四川九洲,可选消费,158.75,0.02
2026-01-30,807,云铝股份,原材料,1166.62,0.13
2026-01-30,810,创维数字,可选消费,133.65,0.01
2026-01-30,811,冰轮环境,工业,159.59,0.02
2026-01-30,813,德展健康,医药卫生,90.39,0.01
2026-01-30,816,智慧农业,工业,58.31,0.01
2026-01-30,818,航锦科技,原材料,145.53,0.02
2026-01-30,819,岳阳兴长,原材料,63.19,0.01
2026-01-30,822,山东海化,原材料,53.88,0.01
2026-01-30,825,太钢不锈,原材料,297.91,0.02
2026-01-30,826,启迪环境,工业,28.79,0.0
2026-01-30,828,东莞控股,工业,114.24,0.01
2026-01-30,829,天音控股,可选消费,107.12,0.01
2026-01-30,2155,湖南黄金,原材料,578.18,0.07
2026-01-30,2156,通富微电,信息技术,790.06,0.11
2026-01-30,2157,正邦科技,主要消费,305.26,0.05
2026-01-30,2158,汉钟精机,工业,132.83,0.01
2026-01-30,2160,常铝股份,原材料,67.44,0.01
2026-01-30,2162,悦心健康,工业,46.26,0.0
2026-01-30,2163,海南发展,工业,140.09,0.02
2026-01-30,2167,东方锆业,原材料,105.43,0.01
2026-01-30,2169,智光电气,工业,101.75,0.01
2026-01-30,2170,芭田股份,原材料,134.32,0.02
2026-01-30,2171,楚江新材,原材料,214.23,0.03
2026-01-30,2179,中航光电,信息技术,726.36,0.07
