,,,市值,市值,市值,市值,市值,市值,市值,市值
,,,count,mean,std,min,25%,50%,75%,max
行业,行业2,行业3,,,,,,,,
纺织服饰,纺织制造,其他纺织,15.0,49.72,21.27,25.29,33.15,43.01,62.74,87.06
纺织服饰,纺织制造,印染,4.0,41.66,23.66,21.04,27.65,35.28,49.28,75.03
纺织服饰,纺织制造,棉纺,8.0,63.8,30.52,21.68,44.3,59.14,79.02,112.37
纺织服饰,纺织制造,辅料,3.0,67.88,48.17,37.3,40.12,42.94,83.18,123.41
纺织服饰,饰品,钟表珠宝,13.0,105.51,72.13,28.56,50.66,92.81,137.64,234.36
综合,综合Ⅱ,综合Ⅲ,15.0,117.96,212.58,23.74,43.68,62.27,83.12,876.08
美容护理,个护用品,生活用纸,8.0,80.18,56.17,35.89,44.3,60.65,95.3,205.39
美容护理,化妆品,化妆品制造及其他,6.0,42.27,16.55,21.56,31.11,40.33,54.36,64.31
美容护理,化妆品,品牌化妆品,8.0,134.36,73.99,43.89,86.58,127.76,151.93,282.49
计算机,IT服务Ⅱ,IT服务Ⅲ,119.0,133.54,142.91,18.46,50.58,79.34,156.67,711.87
计算机,计算机设备,其他计算机设备,60.0,138.77,210.75,20.8,43.89,66.0,132.63,1283.88
计算机,计算机设备,安防设备,24.0,205.67,591.06,22.0,37.47,46.08,93.21,2919.93
计算机,软件开发,垂直应用软件,96.0,143.77,229.27,17.32,45.93,81.34,152.44,1898.96
计算机,软件开发,横向通用软件,35.0,215.0,354.98,15.08,40.44,81.64,175.34,1512.42
轻工制造,包装印刷,印刷,4.0,59.58,14.84,42.67,52.55,58.58,65.62,78.5
轻工制造,包装印刷,塑料包装,6.0,63.93,30.43,24.12,47.92,63.14,73.11,113.91
轻工制造,包装印刷,纸包装,19.0,66.07,57.87,23.36,35.53,47.94,65.86,258.76
轻工制造,包装印刷,金属包装,7.0,98.1,78.15,37.87,53.1,66.27,110.14,256.1
轻工制造,家居用品,其他家居用品,24.0,120.31,218.88,17.41,25.95,46.4,64.41,835.26
轻工制造,家居用品,卫浴制品,7.0,65.33,53.81,26.55,31.46,44.27,73.14,177.28
轻工制造,家居用品,定制家居,13.0,75.52,91.7,26.63,32.56,41.26,51.67,361.9
轻工制造,家居用品,成品家居,16.0,84.0,68.28,22.83,38.21,70.46,91.18,276.09
轻工制造,家居用品,瓷砖地板,13.0,67.84,73.06,25.02,32.18,45.6,66.84,299.09
轻工制造,文娱用品,娱乐用品,17.0,43.23,13.06,23.75,35.51,40.36,48.23,78.1
轻工制造,造纸,大宗用纸,10.0,107.35,121.85,37.05,46.56,71.15,101.1,446.01
轻工制造,造纸,特种纸,12.0,57.02,39.56,24.66,31.57,48.02,61.3,169.15
通信,通信服务,通信工程及服务,19.0,60.85,51.78,24.19,30.12,37.22,59.82,220.63
通信,通信服务,通信应用增值服务,17.0,183.77,335.79,32.48,48.02,75.34,114.15,1444.76
